id,word_count,mean_word_length
272,112.00,4.366071429
273,99.00,4.474747475
274,36.00,4.638888889
275,185.00,4.918918919
276,60.00,4.6
277,47.00,4.127659574
278,33.00,5
279,94.00,4.712765957
280,79.00,4.784810127
281,87.00,4.597701149
282,86.00,4.639534884
283,46.00,3.913043478
284,58.00,4.034482759
285,7.00,2.857142857
286,15.00,3.8
287,2.00,5
288,69.00,3.869565217
289,66.00,4.060606061
290,12.00,4
291,118.00,3.991525424
292,22.00,4.818181818
293,67.00,3.880597015
294,24.00,4.375
295,516.00,4.608527132
296,33.00,4.090909091
297,16.00,3.8125
298,147.00,4.340136054
299,147.00,4.414965986
300,40.00,3.775
301,265.00,4.222641509
302,196.00,4.698979592
303,143.00,4.20979021
304,29.00,4.172413793
305,4.00,3.75
306,15.00,4.533333333
307,22.00,3.863636364
308,3.00,4.333333333
309,112.00,4.705357143
310,176.00,4.5625
311,92.00,4.880434783
312,267.00,4.535580524
313,60.00,4.883333333
314,177.00,4.745762712
315,53.00,4.283018868
316,32.00,5.4375
317,181.00,4.740331492
318,37.00,4.054054054
319,176.00,4.460227273
320,71.00,4.309859155
321,168.00,4.583333333
322,25.00,4.4
323,153.00,4.751633987
324,33.00,4.454545455
325,13.00,4.153846154
326,21.00,4.523809524
327,51.00,4.529411765
328,367.00,4.667574932
329,44.00,4.454545455
330,90.00,4.744444444
331,78.00,4.576923077
332,122.00,4.81147541
333,120.00,4.641666667
334,34.00,5.029411765
335,57.00,4.578947368
336,67.00,4.701492537
337,73.00,4.589041096
338,39.00,3.897435897
339,72.00,4.75
340,92.00,4.75
341,84.00,4.416666667
342,32.00,4.5625
343,230.00,4.195652174
344,60.00,3.9
345,169.00,4.278106509
346,35.00,5.085714286
347,57.00,4.789473684
348,26.00,4.346153846
349,58.00,4.327586207
350,25.00,4.56
351,31.00,4.064516129
352,7.00,4.714285714
353,6.00,4.666666667
354,7.00,4
355,159.00,4.031446541
356,48.00,4.333333333
357,12.00,3.75
358,9.00,4.222222222
359,200.00,4.465
360,45.00,4.733333333
361,151.00,4.437086093
362,4.00,6.75
363,17.00,3.411764706
364,87.00,4.333333333
365,112.00,4.508928571
366,124.00,4.290322581
367,23.00,4.173913043
368,6.00,3.833333333
369,5.00,3.6
370,186.00,4.537634409
371,100.00,4.54
372,147.00,4.469387755
373,335.00,4.474626866
374,113.00,4.601769912
375,83.00,4.43373494
376,97.00,4.103092784
377,1.00,2
378,103.00,4.378640777
379,141.00,4.70212766
380,159.00,4.691823899
381,24.00,4.458333333
382,110.00,4.681818182
383,127.00,4.244094488
384,94.00,4.595744681
385,103.00,4.718446602
386,120.00,4.491666667
387,265.00,4.679245283
388,44.00,5.136363636
389,128.00,4.4921875
390,104.00,4.490384615
391,8.00,4.875
392,11.00,4
393,222.00,4.261261261
394,41.00,4.048780488
395,66.00,4.333333333
396,306.00,4.382352941
397,76.00,4.565789474
398,125.00,4.56
399,26.00,4.115384615
400,3.00,4.333333333
401,1.00,7
402,67.00,3.910447761
403,7.00,3.142857143
404,65.00,4.676923077
405,9.00,4.777777778
406,30.00,4.366666667
407,27.00,4.407407407
408,99.00,4.191919192
409,50.00,4.6
410,32.00,4.65625
411,266.00,4.19924812
412,8.00,6
413,85.00,4.4
414,33.00,5.181818182
415,167.00,4.245508982
416,33.00,3.848484848
417,203.00,4.522167488
418,63.00,4.285714286
419,19.00,4.473684211
420,57.00,3.894736842
421,14.00,4
422,436.00,4.458715596
423,444.00,4.427927928
424,56.00,4.660714286
425,14.00,3.214285714
426,40.00,3.85
427,11.00,4.454545455
428,87.00,4.850574713
429,182.00,4.582417582
430,152.00,4.467105263
431,277.00,4.310469314
432,122.00,4.549180328
433,69.00,4.086956522
434,72.00,4.708333333
435,50.00,4.4
436,149.00,4.590604027
437,52.00,4.519230769
438,5.00,5
439,94.00,4.478723404
440,63.00,5.571428571
441,35.00,4.228571429
442,128.00,4.4765625
443,17.00,4.941176471
444,173.00,4.398843931
445,269.00,4.516728625
446,415.00,4.303614458
447,354.00,4.087570621
